number;name;address;email;phone;latitude;longitude
581;Europris Lillehammer Nord;Snekkerveien 7, 2619, Lillehammer;ep581@europris.no;46941052;61.12904000;10.44675000
228;Europris Lillehammer Strandparken;Strandpromenaden 77 , Strandtorget, 2609, Lillehammer;ep228@europris.no;94151701;61.11459000;10.45268000
436;Europris Lillesand;Senterveien 10, 4790, Lillesand;ep436@europris.no;37272455;58.26122000;8.39377000
383;Europris Lillestrøm;Isakvn 2, 2004, Lillestrøm;ep383@europris.no;63805390;59.94802000;11.07249000
255;Europris Lindeberg;Lindeberg Næringsvei 28, 1068, Oslo;ep255@europris.no;22302530;59.93563000;10.88696000
611;Europris Lindås;Kolåsvegen 7, 5955, Lindås;ep611@europris.no;90605122;60.73937000;5.16066000
340;Europris Lom;Stupulvegen 11, 2686, Lom;ep340@europris.no;97642021;61.83923000;8.57833000
424;Europris Lonevåg;Lonevåg Arena, 5282, Lonevåg;ep424@europris.no;91736060;60.52619000;5.49368000
474;Europris Lund;Stadionveien 16, 4632, Kristiansand S;ep474@europris.no;38092411;58.15311000;8.02572000
591;Europris Lura;Somaveien 2, 4313, Sandnes;ep591@europris.no;48161970;58.87353000;5.72474000
487;Europris Lyngdal;Fiboveien 4, 4580, Lyngdal;ep487@europris.no;38341500;58.13790000;7.07044000
615;Europris Løren City;Lørenveien 38, 0585, Oslo;ep615@europris.no;90077680;59.93141000;10.79069000
421;Europris Lørenskog;Boecks Gate 10, 1470, Lørenskog;ep421@europris.no;95438102;59.92723000;10.95752000
408;Europris Løten;Stasjonsveien 12 B, 2340, Løten;ep408@europris.no;47670144;60.81983000;11.34207000
63;Europris Madla;Ragbakken 84, 4042, Hafrsfjord;ep063@europris.no;51553181;58.95202000;5.65727000
29;Europris Mandal;Sommerkroveien 34, 4515, Mandal;ep029@europris.no;38260107;58.02436000;7.46635000
645;Europris Mandal;Sommerkroveien 7, 4515, Mandal;ep645@europris.no;38260107;58.02436000;7.46635000
609;Europris Melhus;Melhustorget, 7224, Melhus;ep609@europris.no;72878660;63.28613000;10.28416000
600;Europris Meråker;Mellomrikveien 4869, 7530, Meråker;ep600@europris.no;91566280;63.41685000;11.73905000
431;Europris Midtun;Midtunheia 20, 5224, Nesttun;ep431@europris.no;55104581;60.32143000;5.36485000
386;Europris Mjøndalen;Orkidehøgda, 3050, Mjøndalen;ep386@europris.no;95442387;59.74887000;10.02697000
434;Europris Mo I Rana;Verkstedveien 6, 8624, Mo I Rana;ep434@europris.no;75152680;66.30412000;14.13258000
242;Europris Moelv;Åsmarkvegen 6, 2390, Moelv;ep242@europris.no;62366205;60.92999000;10.70080000
335;Europris Molde;Birger Hatlebaks V 7, 6415, Molde;ep335@europris.no;71256801;62.73893000;7.18001000
457;Europris Mortensrud;Helga Vaneks Vei 1 J, 1281, Oslo;ep457@europris.no;97687782;59.84883000;10.83064000
435;Europris Mosjøen;Dolstadgaten 15, 8663, Mosjøen;ep435@europris.no;75170660;65.84149000;13.19153000
295;Europris Moss Pluss;Midtveien 5, 1521, Moss;ep295@europris.no;69236690;59.41536000;10.67615000
413;Europris Mysen;Opsahlåsveien 1, 1850, Mysen;ep413@europris.no;69891400;59.55181000;11.34179000
306;Europris Måløy;Måløy Stormarked, 6718, Deknepollen;ep306@europris.no;57854440;61.92162000;5.15445000
375;Europris Namsos;Sandgata 7 A, 7800, Namsos;ep375@europris.no;74271713;64.47467000;11.50992000
593;Europris Nannestad;Ekerveien 5, 2030, Nannestad;ep593@europris.no;94876630;60.22040000;11.01514000
441;Europris Nanset;Nansetveien 150, 3255, Larvik;ep441@europris.no;33116511;59.08085000;10.06260000
588;Europris Narvik;Bolagsgata 18, 8516, Narvik;ep588@europris.no;76960660;68.43628000;17.41494000
447;Europris Nedenes;Vesterveien 705, 4823, Nedenes;ep447@europris.no;48087620;58.41842000;8.70238000
625;Europris Nittedal;Bjertnestangen 9, 1482, Nittedal;ep625@europris.no;48182105;60.05084000;10.88390000
484;Europris Nordfjordeid;Uldegrova 4, 6770, Nordfjordeid;ep484@europris.no;57861560;61.90967000;6.00291000
315;Europris Norheimsund;Steinsdalsvegen 39, 5600, Norheimsund;ep315@europris.no;56563060;60.37217000;6.13744000
77;Europris Notodden;Merdevegen 12, 3676, Notodden;ep077@europris.no;35022595;59.56610000;9.21626000
384;Europris Nærbø;Torggata 16, 4365, Nærbø;ep384@europris.no;51431335;58.66486000;5.63669000
334;Europris Nøtterøy;Ramdalveien 2, 3128, Nøtterøy;ep334@europris.no;33407220;59.26389000;10.39329000
135;Europris Odda;Tyssedalsveien 12, 5750, Odda;ep135@europris.no;53647400;60.06968000;6.55186000
397;Europris Oppdal;O. Skasliens Veg 46, 7340, Oppdal;ep397@europris.no;91668401;62.59583000;9.70290000
489;Europris Orkanger;Tverradkomsten 60, 7300, Orkanger;ep489@europris.no;72481825;63.30598000;9.83860000
56;Europris Os;Prestegårdsskogen 2, 5210, Os;ep056@europris.no;56304450;60.20315000;5.45643000
210;Europris Otta;Storgaten 2, 2670, Otta;ep210@europris.no;95239969;61.77119000;9.54336000
636;Europris Otta;Storgaten 2, 2670, Otta;ep636@europris.no;61230440;61.77119000;9.54336000
461;Europris Ottestad;Holmlundveien 1, 2312, Ottestad;ep461@europris.no;90242737;60.77028000;11.13187000
410;Europris Pindsle;Pindsleveien 21, 3221, Sandefjord;ep410@europris.no;48129277;59.14162000;10.18001000
442;Europris Porsgrunn;Porselensveien 14, 3920, Porsgrunn;ep442@europris.no;35554613;59.14058000;9.63716000
237;Europris Prinsdal;Skiveien 2, 1410, Kolbotn;ep237@europris.no;90268548;59.83328000;10.80876000
233;Europris Raglamyr Pluss;Longhammervegen 36, 5536, Haugesund;ep233@europris.no;52866761;59.39740000;5.33471000
245;Europris Rakkestad;Storgata 18, 1890, Rakkestad;ep245@europris.no;69225990;59.42608000;11.34239000
216;Europris Randaberg;Randabergveien 333, 4070, Randaberg;ep216@europris.no;51734450;58.99532000;5.63761000
587;Europris Raufoss;Storgata 49, 2830, Raufoss;ep587@europris.no;61190577;60.72538000;10.61266000
578;Europris Reknes;Gideonveien 4, 6415, Molde;ep578@europris.no;94811778;62.73401000;7.13944000
280;Europris Rena;Lille Torggate 4, 2450, Rena;ep280@europris.no;62444257;61.13277000;11.36980000
300;Europris Revetal;Regata 5, 3174, Revetal;ep300@europris.no;90251720;59.36940000;10.26458000
414;Europris Ringebu;Vålerjordet, 2630, Ringebu;ep414@europris.no;90253219;61.52992000;10.14710000
349;Europris Rissa;Badstuveien 4, 7100, Rissa;ep349@europris.no;95816312;63.58407000;9.95663000
571;Europris Risør;Risørveien 179, 4950, Risør;ep571@europris.no;47707322;58.71516000;9.17672000
497;Europris Rjukan;Såheimsveien 30, 3660, Rjukan;ep497@europris.no;91158730;59.87709000;8.58783000
350;Europris Roa;Hadelandsvegen 2128, 2740, Roa;ep350@europris.no;95808454;60.28642000;10.62679000
635;Europris Rognan;Kirkegata 51, 8250, Rognan;ep635@europris.no;47512360;67.10153000;15.41147000
584;Europris Rykkinn;Muninsvei 1, 1348, Rykkinn;ep584@europris.no;90289430;59.92403000;10.48526000
425;Europris Råde;Mosseveien 52, 1640, Råde;ep425@europris.no;48225054;59.35817000;10.83582000
264;Europris Råholt;Trondheimsveien 266-288, 2070, Råholt;ep264@europris.no;63952157;60.28593000;11.17086000
480;Europris Rælingen;Slynga 2, 2005, Rælingen;ep480@europris.no;90297028;59.94667000;11.03122000
428;Europris Røros;Tollef Bredalsvei 11, 7374, Røros;ep428@europris.no;90571513;62.57427000;11.37851000
411;Europris Sand;Herredsvegen 7, 2120, Sagstua;ep411@europris.no;91739144;60.39259000;11.54103000
486;Europris Sandane;Grandavegen14, 6823, Sandane;ep486@europris.no;94780207,97717001;61.77600000;6.21320000
427;Europris Sande I Vestfold;Revåveien 35, 3070, Sande I Vestfold;ep427@europris.no;33778906;59.58413000;10.21006000
440;Europris Sandefjord;Haslebakken 12, 3229, Sandefjord;ep440@europris.no;33465930;59.13971000;10.23865000
223;Europris Sandnes;Gravarsveien 7, 4306, Sandnes;ep223@europris.no;51669480;58.84829000;5.73966000
79;Europris Sandnessjøen;Øyvind Lambesvei 6, 8800, Sandnessjøen;ep079@europris.no;75040380;66.01729000;12.64243000
370;Europris Sandsli;Aurdalslia 12, 5253, Sandsli;ep370@europris.no;95968643;60.30552000;5.28194000
324;Europris Sandvika;Sandviksveien 183 ( Defagården), 1337, Sandvika;ep324@europris.no;90990485;59.88717000;10.51848000
250;Europris Sarpsborg;Hundskinnveien 100, 1711, Sarpsborg;ep250@europris.no;69101180;59.28679000;11.08066000
449;Europris Sartor Storsenter;Sartorveien 12 ,5353 Straume, 5353, Straume;ep449@europris.no;56332406;60.35850000;5.12407000
351;Europris Sauda;Saudavegen 7, 4200, Sauda;ep351@europris.no;47664104;59.65072000;6.35414000
616;Europris Selbu;Selbuvegen 1687, 7580, Selbu;ep616@europris.no;94878717;63.22211000;11.03491000
445;Europris Seljord;Steinsrudvegen 5, 3840, Seljord;ep445@europris.no;35051980;59.48082000;8.63031000
446;Europris Sellebakk;Sorgenfri Allè 3, 1654, Sellebakk;ep446@europris.no;69345240;59.22604000;10.99514000
393;Europris Sem;Semsbyvn 81, 3170, Sem;ep393@europris.no;33318990;59.28271000;10.33154000
622;Europris Setermoen;Industriveien 2, 9360, Bardu;ep622@europris.no;94850375;68.87701000;18.35714000
296;Europris Skarnes;Stasjonsveien 30   Skarnes S, 2100, Skarnes;ep296@europris.no;62961310;60.24921000;11.67615000
387;Europris Skedsmo;Korshagan 1, 2020, Skedsmokorset;ep387@europris.no;90774170;60.00512000;11.03322000
398;Europris Ski;Åsveien 15, 1400, Ski;ep398@europris.no;64942289;59.71336000;10.83515000
403;Europris Skiptvet;Storveien 9, 1816, Skiptvet;ep403@europris.no;48286916;59.47257000;11.16342000
378;Europris Skotterud;Skjørbergs Veg 8, 2230, Skotterud;ep378@europris.no;90470197;59.98619000;12.12206000
409;Europris Skreppestad;Skreppestadveien 28, 3261, Larvik;ep409@europris.no;48250706;59.04593000;10.07235000
248;Europris Slemmestad;Eternittvn. 4, 3470, Slemmestad;ep248@europris.no;66791740;59.78577000;10.48930000
412;Europris Sogndal;Furuvegen 1 Kaupangsenteret, 6854, Kaupanger;ep412@europris.no;57675300;61.19165000;7.22033000
605;Europris Sortland;Sjøgata 30, 8400, Sortland;ep605@europris.no;76122144;68.71990000;15.40116000
391;Europris Spydeberg;Spydeberg Torg, Stasjonsgata 32, 1820, Spydeberg;ep391@europris.no;95859430;59.61917000;11.07851000
416;Europris Stakkevoll;Stakkevollveien 33, 9010, Tromsø;ep416@europris.no;46854418;69.66598000;18.97080000
247;Europris Stange;Romedalsveien 18, Høgmyr, 2335, Stange;ep247@europris.no;62572230;60.72157000;11.19727000
309;Europris Steinkjer;Sjøfartsgata 5, 7714, Steinkjer;ep309@europris.no;90769735;64.01125000;11.49161000
617;Europris Stjørdal;Innherredsv. 62 Og 64, 7503, Stjørdal;ep617@europris.no;74827710;63.46775000;10.92909000
344;Europris Stoa;Sagvannsveien 16, 4848, Arendal;ep344@europris.no;37033030;58.46502000;8.71261000
583;Europris Stokke;Tassebekkveien 1, 3160, Stokke;ep583@europris.no;90090220;59.22141000;10.30154000
433;Europris Stokmarknes;Myran, 8450, Stokmarknes;ep433@europris.no;90909359;68.55797000;14.94031000
598;Europris Stord;Rundhaugen 44, 5416, Stord;ep598@europris.no;53417900;59.76431000;5.46072000
293;Europris Storhamar;Måsåbekkveien 2 Storhamarsenteret, 2316, Hamar;ep293@europris.no;62533115;60.80421000;11.04435000
478;Europris Stovner;Stovner Senter, 0985, Oslo;ep478@europris.no;41405751;59.96143000;10.92658000
476;Europris Stranda;Bankgata 16, 6200, Stranda;ep476@europris.no;90078301;62.30763000;6.94808000
418;Europris Strusshamn;Strusshamn Senter, 5302, Strusshamn;ep418@europris.no;56147861;60.40662000;5.19456000
485;Europris Stryn;Hegreveien 16, 6783, Stryn;ep485@europris.no;95024220;61.90259000;6.71028000
481;Europris Strømmen;Støperiveien 5 (3 Etg.i Storsenteret), 2010, Strømmen;ep481@europris.no;47512859;59.94788000;11.00712000
462;Europris Strømsø;Bjørnstjerne Bjørnsongate 60, 3044, Drammen;ep462@europris.no;90266455;59.73447000;10.20669000
221;Europris Støperigaten Stavanger;Støperigt 22, 4014, Stavanger;ep221@europris.no;51891890;58.97004000;5.75388000
